UF,População,Média geométrica do pico de infecção das temporadas regulares,limiar pré-epidêmico,intensidade alta,intensidade muito alta,se típica do início do surto,IC da se típica do início do surto,duração típica do surto,IC da duração típica do surto
Rondônia,1768204,0.14067839829384962,0.2827728022332265,0.565545604466453,1.131091208932906,12.0,[4.0-39.0],2.0,[0.0-8.0]
Acre,803513,0.9415778121128078,0.6222674679812275,1.244534935962455,2.48906987192491,15.0,[4.0-47.0],6.0,[3.0-9.0]
Amazonas,3938336,0.12897892374075035,0.12695717175984983,0.25391434351969966,0.5078286870393993,7.0,[2.0-26.0],12.0,[12.0-12.0]
Roraima,505665,,0.988796930774327,1.977593861548654,3.955187723097308,,,,
Pará,8175113,0.2731370367750278,0.09037912821687327,0.2842160705701508,0.5015231424627888,14.0,[10.0-18.0],10.0,[7.0-14.0]
Amapá,766679,,0.6521634217188681,1.3043268434377362,2.6086536868754724,,,,
Tocantins,1515126,0.18621023582676144,0.33000555729358483,0.6600111145871697,1.3200222291743393,21.0,[15.0-28.0],5.0,[1.0-14.0]
Maranhão,6904241,,0.07241925651204817,0.14483851302409634,0.2896770260481927,,,,
Piauí,3204028,0.1786066324534478,0.15605356757181899,0.31210713514363797,0.6242142702872759,8.0,[4.0-16.0],8.0,[6.0-10.0]
Ceará,8904459,0.1092795852991062,0.05615164267700036,0.11588100130235528,0.22460657070800144,7.0,[2.0-18.0],13.0,[11.0-15.0]
Rio Grande do Norte,3442175,0.41850314100599145,0.19053381022625993,0.29051399188013394,0.5810279837602679,10.0,[3.0-33.0],6.0,[3.0-12.0]
Paraíba,3972202,,0.12587476669111994,0.2517495333822399,0.5034990667644798,,,,
Pernambuco,9345173,0.2841249660087976,0.3697266897238025,0.4662504794260972,0.5574756542292131,21.0,[10.0-40.0],5.0,[1.0-21.0]
Alagoas,3340932,,0.1496588377135482,0.2993176754270964,0.5986353508541928,,,,
Sergipe,2242937,,0.22292199914665461,0.44584399829330923,0.8916879965866185,,,,
Bahia,15203934,0.12643136644666816,0.04420258478929337,0.11086986315767369,0.1694025862706834,15.0,[9.0-24.0],11.0,[8.0-15.0]
Minas Gerais,20869101,0.46072866306462473,0.3972194801309612,0.7510726767870434,1.0065102969253068,19.0,[13.0-29.0],10.0,[7.0-15.0]
Espírito Santo,3929911,0.1318818395566568,0.12722934437955466,0.2544586887591093,0.5089173775182186,20.0,[14.0-28.0],5.0,[2.0-13.0]
Rio de Janeiro,16550024,0.17425046954455295,0.08034114591083816,0.17111322806751264,0.24825833680180012,16.0,[12.0-21.0],11.0,[8.0-16.0]
São Paulo,44396484,0.4377273694039838,0.1675027633174342,0.4265688003861753,0.5525033911049201,14.0,[9.0-21.0],14.0,[12.0-16.0]
Paraná,11163018,1.8178214033882774,0.6578005545166554,1.8475645174857964,2.747693107383448,16.0,[10.0-25.0],12.0,[9.0-16.0]
Santa Catarina,6819190,0.5546171472546358,0.3954261622441214,0.6153573299297366,0.7846053307669512,21.0,[15.0-28.0],10.0,[6.0-17.0]
Rio Grande do Sul,11247972,0.8413618341640356,0.3331479267899583,1.129282985735092,1.8912267341884446,19.0,[16.0-22.0],12.0,[10.0-16.0]
Mato Grosso do Sul,2651235,1.0591783724980437,0.4740523809790443,1.4110721240463204,2.3167914013637994,21.0,[18.0-24.0],13.0,[10.0-16.0]
Mato Grosso,3265486,0.16633320635356239,0.15311656519121503,0.30623313038243005,0.6124662607648601,15.0,[12.0-19.0],8.0,[3.0-21.0]
Goiás,6610681,0.3405000946030616,0.19943493799403056,0.28177483041588597,0.36809280620841583,21.0,[11.0-37.0],7.0,[4.0-12.0]
Distrito Federal,2914830,0.41260248207564604,0.24479824144680573,0.4589751598250916,0.6861463618804526,14.0,[9.0-23.0],11.0,[9.0-14.0]
