UF,População,Média geométrica do pico de infecção das temporadas regulares,região de baixa atividade típica,limiar pré-epidêmico,intensidade alta,intensidade muito alta,SE típica do início do surto,"SE típica do início do surto - IC inferior (2,5%)","SE típica do início do surto - IC superior (97,5%)",duração típica do surto,"duração típica do surto - IC inferior (2,5%)","duração típica do surto - IC superior (97,5%)",ano,Unidade da Federação,Tipo
11,1805788,0.8034578705994582,0,0.1031624135944281,0.8583820679783785,1.1603560216633255,12.0,9.0,22.0,8.0,4.0,15.0,2017,Rondônia,Estado
12,829619,0.9535034338925802,0,0.6838503439836876,1.7838846870466507,3.0533631355503266,24.0,5.0,49.0,6.0,3.0,16.0,2017,Acre,Estado
13,4063614,0.11634981665367379,0,0.04217073913866651,0.1621433391606455,0.20789200030313615,12.0,4.0,25.0,12.0,6.0,13.0,2017,Amazonas,Estado
14,522636,0.4736149444029675,0,0.41459452206366876,0.5939640540632207,0.8017567380148702,26.0,13.0,50.0,6.0,3.0,10.0,2017,Roraima,Estado
15,8366628,0.2562303726865608,0,0.08386487655536651,0.46594724302359464,0.8574846598662481,12.0,10.0,18.0,10.0,5.0,13.0,2017,Pará,Estado
16,797722,0.2625078140185983,1,0.06267847696315258,0.4717419657448123,0.6285600557527733,,,,,,,2017,Amapá,Estado
17,1550194,0.20922911734076013,0,0.14483515878780534,0.2184422929531875,0.27803379256190985,21.0,13.0,45.0,6.0,1.0,17.0,2017,Tocantins,Estado
21,7000229,0.07085619429608668,1,0.007142623477031966,0.07260808100483462,0.09351483898365509,,,,,,,2017,Maranhão,Estado
22,3218485,0.1519921558508976,0,0.144561326743349,0.23340387289271264,0.35581156437097955,11.0,3.0,12.0,9.0,6.0,11.0,2017,Piauí,Estado
23,9021232,0.11349551293105171,0,0.03881325349530879,0.1598848769111998,0.20346488770578985,13.0,2.0,46.0,12.0,6.0,15.0,2017,Ceará,Estado
24,3507003,0.327408764917594,0,0.15253262023755254,0.46760463192510276,0.7399150097852863,11.0,1.0,20.0,8.0,1.0,10.0,2017,Rio Grande do Norte,Estado
25,4025558,0.04357888508005417,1,0.012420638331381637,0.04674058523686453,0.059598327911076554,,,,,,,2017,Paraíba,Estado
26,9473707,0.5569065634693446,0,0.3555195174618243,0.6633402826329626,0.7932362333812464,15.0,13.0,40.0,10.0,1.0,12.0,2017,Pernambuco,Estado
27,3375382,0.0579769774411278,1,0.014813138187025943,0.07696941091236087,0.09920137101233295,,,,,,,2017,Alagoas,Estado
28,2288116,0.045829584969611765,1,0.021852038970052216,0.05671956137343148,0.08740815588020887,,,,,,,2017,Sergipe,Estado
29,15344447,0.10028478638718474,0,0.036294422976844286,0.10640819371373017,0.15592507033247202,15.0,7.0,29.0,12.0,9.0,16.0,2017,Bahia,Estado
31,21119536,0.5409280394965134,0,0.4007163929379947,1.093888075636209,1.4758524611539403,18.0,13.0,26.0,11.0,7.0,13.0,2017,Minas Gerais,Estado
32,4016356,0.12832653599202476,0,0.06531112139462046,0.17067135478104456,0.21814062568976644,21.0,11.0,26.0,12.0,3.0,18.0,2017,Espírito Santo,Estado
33,16718956,0.16012571191405264,0,0.07339616574700814,0.18549188625355176,0.25613795196796857,17.0,11.0,21.0,13.0,7.0,15.0,2017,Rio de Janeiro,Estado
35,45094866,0.4124190857537142,0,0.15800245182149053,0.43073110486732913,0.530638666038525,13.0,9.0,23.0,14.0,12.0,17.0,2017,São Paulo,Estado
41,11320892,1.5020137113306005,0,0.5686421019529072,2.151515285894475,3.1266719388719495,18.0,9.0,24.0,13.0,9.0,16.0,2017,Paraná,Estado
42,7001161,0.9779156337318682,0,0.4085295878989643,1.7422654445453334,2.651785453773906,18.0,13.0,22.0,14.0,5.0,18.0,2017,Santa Catarina,Estado
43,11322895,1.3588973164654377,0,0.39843026647857216,1.8055836324187329,2.569162715982359,20.0,14.0,24.0,12.0,10.0,16.0,2017,Rio Grande do Sul,Estado
50,2713147,0.7843236494042239,0,0.46436691969024757,1.4558851778320854,2.2268027418980227,22.0,19.0,23.0,11.0,8.0,15.0,2017,Mato Grosso do Sul,Estado
51,3344544,0.15663914821240008,0,0.07229679156190771,0.22299262260018615,0.2958573487889391,15.0,7.0,22.0,12.0,7.0,15.0,2017,Mato Grosso,Estado
52,6778772,0.34440012784951746,0,0.19817190815132674,0.36633591477625593,0.4738958767004735,16.0,9.0,42.0,9.0,3.0,11.0,2017,Goiás,Estado
53,3039444,0.593151447937717,0,0.2488623721419772,0.7243346549307392,1.1916372194543918,12.0,9.0,33.0,11.0,7.0,13.0,2017,Distrito Federal,Estado
BR,207660929,0.38929537199954994,0,0.19306945363350608,0.5659134170086032,0.7826590371147482,17.0,9.0,22.0,12.0,10.0,15.0,2017,Brasil,País
RegC,27644815,0.22379434817152516,0,0.09228829826217719,0.24397454131664903,0.321731346508603,13.0,9.0,24.0,13.0,10.0,18.0,2017,Regional Centro,Regional
RegL,67770757,0.10132759879297855,0,0.08572603662953984,0.14993907890009706,0.16985714607577243,17.0,11.0,21.0,13.0,8.0,13.0,2017,Regional Leste,Regional
RegN,16386007,0.4772995517650464,0,0.11444444024069417,0.6799749228492856,1.0718892841007321,12.0,7.0,16.0,10.0,9.0,13.0,2017,Regional Norte,Regional
RegS,95859350,0.5248522369340772,0,0.28136349495666035,1.0478735440614826,1.5474350449851342,17.0,9.0,22.0,12.0,11.0,16.0,2017,Regional Sul,Regional
